id,title,overview,genres,keywords,release_date,vote_average,vote_count,popularity,poster_path,original_language
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]","[{""id"": 10349, ""name"": ""survival""}, {""id"": 10216, ""name"": ""outcast""}, {""id"": 10158, ""name"": ""alien planet""}, {""id"": 302711, ""name"": ""team up""}, {""id"": 325811, ""name"": ""excited""}]",2025-11-05,7.729,1944,169.0532,/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,en
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","[{""id"": 616, ""name"": ""witch""}, {""id"": 402, ""name"": ""clone""}, {""id"": 3386, ""name"": ""space war""}, {""id"": 10148, ""name"": ""tribe""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 12375, ""name"": ""transhumanism""}, {""id"": 18035, ""name"": ""family""}, {""id"": 195114, ""name"": ""space adventure""}, {""id"": 200918, ""name"": ""angry""}, {""id"": 205734, ""name"": ""family dynamics""}, {""id"": 237104, ""name"": ""rival""}, {""id"": 325765, ""name"": ""amused""}, {""id"": 325799, ""name"": ""disheartening""}]",2025-12-17,7.288,1756,135.5176,/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,en
1310568,Murder at the Embassy,"1934. Private detective Miranda Green investigates a murder perpetrated in the British Embassy in Cairo, where a top secret document was stolen, risking to jeopardize both Buckingham Palace and the peace of the world. All those present in this closed place are suspected: the American photographer, the English student, the American actress, the Egyptian security guard, the ambassador interpreter, the Egyptian gardener and - why not? — the Ambassador himself. But who would have expected that a small group of Nazis would be behind a plot, risking to jeopardize both Buckingham Palace and the peace of the world?","[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]","[{""id"": 12570, ""name"": ""whodunit""}, {""id"": 185815, ""name"": ""u.s. embassy""}, {""id"": 207046, ""name"": ""murder mystery""}]",2025-11-14,5.7,32,115.3572,/3DBmBItPdy0A2ol59jgHhS54Lua.jpg,en
1584215,The Internship,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.","[{""id"": 28, ""name"": ""Action""}]",[],2026-01-13,6.233,45,110.5194,/fYqSOkix4rbDiZW0ACNnvZCpT6X.jpg,en
1316092,“Wuthering Heights”,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.","[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 1326, ""name"": ""infidelity""}, {""id"": 818, ""name"": ""based on novel or book""}, {""id"": 9872, ""name"": ""grief""}, {""id"": 15060, ""name"": ""period drama""}, {""id"": 155643, ""name"": ""foster child""}, {""id"": 160279, ""name"": ""18th century""}, {""id"": 221882, ""name"": ""gothic romance""}, {""id"": 232473, ""name"": ""whitewashing""}, {""id"": 283057, ""name"": ""passion and romance""}, {""id"": 304976, ""name"": ""romantic drama""}, {""id"": 361772, ""name"": ""period romance""}]",2026-02-11,6.863,120,155.6359,/3YBce6dTh1D5oCMITXk2S5QhPt.jpg,en
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 6086, ""name"": ""government""}, {""id"": 10563, ""name"": ""attack""}, {""id"": 18419, ""name"": ""privacy""}, {""id"": 18420, ""name"": ""surveillance""}, {""id"": 197255, ""name"": ""cybersecurity""}, {""id"": 202559, ""name"": ""district""}, {""id"": 240069, ""name"": ""online privacy""}, {""id"": 272745, ""name"": ""screenlife""}, {""id"": 273967, ""name"": ""war""}, {""id"": 305168, ""name"": ""depressed""}, {""id"": 309974, ""name"": ""absurd""}, {""id"": 325793, ""name"": ""derisive""}]",2025-07-29,4.225,886,123.7033,/yvirUYrva23IudARHn3mMGVxWqM.jpg,en
1271895,96 Minutes,"Former bomb disposal expert, Song Kang-Ren, and his fiancée, Huang Xin, board a high-speed train that contains a bomb. At the same time, Liu Kai, a well-known physics teacher who was involved in an affair scandal, also boards this same train in order to win back his wife, Ting Juan, who took the prior high-speed rail to return home in frustration…  After all, can the bomb be successfully defused this time? and resolve the crisis?","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",[],2025-09-05,5.822,45,102.9368,/gWKZ1iLhukvLoh8XY2N4tMvRQ2M.jpg,zh
1306368,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]","[{""id"": 416, ""name"": ""miami, florida""}, {""id"": 6149, ""name"": ""police""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 11719, ""name"": ""dirty cop""}, {""id"": 14782, ""name"": ""trust""}, {""id"": 155619, ""name"": ""attic""}, {""id"": 167428, ""name"": ""sting operation""}, {""id"": 200918, ""name"": ""angry""}, {""id"": 206594, ""name"": ""cartel""}, {""id"": 208646, ""name"": ""hidden money""}, {""id"": 251667, ""name"": ""anxious""}, {""id"": 272551, ""name"": ""fbi agent""}, {""id"": 285626, ""name"": ""drug money""}, {""id"": 312898, ""name"": ""violence""}]",2026-01-13,7.057,1164,95.4009,/eZo31Dhl5BQ6GfbMNf3oU0tUvPZ.jpg,en
1297842,GOAT,"Will, a small goat with big dreams, gets a once-in-a-lifetime shot to join the pros and play roarball – a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world. Will's new teammates aren't thrilled about having a little goat on their roster, but Will is determined to revolutionize the sport and prove once and for all that 'smalls can ball'!","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}]","[{""id"": 240, ""name"": ""underdog""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6075, ""name"": ""sports""}, {""id"": 5300, ""name"": ""allies""}, {""id"": 3734, ""name"": ""ambition""}, {""id"": 6733, ""name"": ""bullying""}, {""id"": 5399, ""name"": ""challenge""}, {""id"": 6496, ""name"": ""basketball""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10683, ""name"": ""coming of age""}, {""id"": 11477, ""name"": ""anthropomorphism""}, {""id"": 18165, ""name"": ""animals""}, {""id"": 68642, ""name"": ""intimidation""}, {""id"": 168567, ""name"": ""stereotype""}, {""id"": 176746, ""name"": ""basketball team""}, {""id"": 176752, ""name"": ""basketball player""}, {""id"": 181329, ""name"": ""big dreams""}, {""id"": 224389, ""name"": ""imaginary world""}, {""id"": 243897, ""name"": ""sneakers""}, {""id"": 251484, ""name"": ""enemies""}, {""id"": 252690, ""name"": ""vulture""}, {""id"": 259376, ""name"": ""playful""}, {""id"": 267848, ""name"": ""talking animal""}, {""id"": 269710, ""name"": ""anthropomorphic animal""}, {""id"": 274126, ""name"": ""athlete""}, {""id"": 281585, ""name"": ""inspirational""}, {""id"": 299369, ""name"": ""courage""}, {""id"": 304995, ""name"": ""feel good""}, {""id"": 319357, ""name"": ""heartwarming""}, {""id"": 319837, ""name"": ""exciting""}, {""id"": 320262, ""name"": ""fantasy sports""}, {""id"": 325761, ""name"": ""admiring""}, {""id"": 325765, ""name"": ""amused""}, {""id"": 325832, ""name"": ""joyful""}, {""id"": 335806, ""name"": ""sports comedy""}]",2026-02-11,6.9,18,87.5884,/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,en
1234731,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]","[{""id"": 1585, ""name"": ""snake""}, {""id"": 5160, ""name"": ""animal attack""}, {""id"": 5968, ""name"": ""amazon rainforest""}, {""id"": 9732, ""name"": ""film in film""}, {""id"": 10787, ""name"": ""jungle""}, {""id"": 41415, ""name"": ""reptile""}, {""id"": 158233, ""name"": ""anaconda""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 223059, ""name"": ""animal horror""}, {""id"": 270346, ""name"": ""meta""}, {""id"": 320420, ""name"": ""hilarious""}, {""id"": 325765, ""name"": ""amused""}, {""id"": 325775, ""name"": ""awestruck""}, {""id"": 325778, ""name"": ""bold""}]",2025-12-24,5.818,573,87.4857,/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg,en
1503900,Die'ced: Reloaded,"Benny escapes an asylum on Halloween, masked as a scarecrow and hungry for blood. In 1980s Seattle, the hunt is on - and no one is safe.","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 3335, ""name"": ""halloween""}, {""id"": 3151, ""name"": ""scarecrow""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 12339, ""name"": ""slasher""}, {""id"": 173298, ""name"": ""escaped mental patient""}, {""id"": 208289, ""name"": ""1980s""}]",2025-08-08,4.0,5,85.8625,/haFDZfpKszHq7DXvuQd5Zz7shQW.jpg,en
1043197,Dust Bunny,"Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real.","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 207046, ""name"": ""murder mystery""}, {""id"": 209871, ""name"": ""monster under the bed""}]",2025-12-11,6.679,169,85.0571,/vobigFZFvbYPf6ElYJu07P9rH8C.jpg,en
1167307,David,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 18, ""name"": ""Drama""}]","[{""id"": 3036, ""name"": ""bible""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 11222, ""name"": ""prophet""}, {""id"": 178107, ""name"": ""david vs. goliath""}, {""id"": 281237, ""name"": ""independent film""}, {""id"": 309288, ""name"": ""bible prophecy""}, {""id"": 348322, ""name"": ""biblical epic""}]",2025-12-14,8.066,83,83.7794,/bESlrLOrsQ9gKzaGQGHXKOyIUtX.jpg,en
858024,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 36, ""name"": ""History""}]","[{""id"": 818, ""name"": ""based on novel or book""}, {""id"": 9872, ""name"": ""grief""}, {""id"": 12995, ""name"": ""historical fiction""}, {""id"": 146946, ""name"": ""death in family""}, {""id"": 159138, ""name"": ""death of son""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 208244, ""name"": ""16th century""}, {""id"": 316832, ""name"": ""tense""}, {""id"": 325824, ""name"": ""hopeful""}]",2025-11-26,7.8,519,82.4111,/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg,en
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","[{""id"": 856, ""name"": ""paraplegic""}, {""id"": 1534, ""name"": ""attachment to nature""}, {""id"": 1463, ""name"": ""culture clash""}, {""id"": 1551, ""name"": ""indigenous""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 10148, ""name"": ""tribe""}, {""id"": 10158, ""name"": ""alien planet""}, {""id"": 11239, ""name"": ""distant future""}, {""id"": 11399, ""name"": ""marine""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 14720, ""name"": ""love affair""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 18330, ""name"": ""nature""}, {""id"": 47972, ""name"": ""native peoples""}, {""id"": 193554, ""name"": ""power relations""}, {""id"": 197818, ""name"": ""tribal customs""}, {""id"": 209415, ""name"": ""tribal people""}, {""id"": 221136, ""name"": ""tribal chief""}, {""id"": 233155, ""name"": ""cryonics""}, {""id"": 235164, ""name"": ""spiritual community""}, {""id"": 236590, ""name"": ""22nd century""}, {""id"": 238329, ""name"": ""save the planet""}, {""id"": 244446, ""name"": ""racial discrimination""}, {""id"": 253373, ""name"": ""soldiers""}, {""id"": 325775, ""name"": ""awestruck""}, {""id"": 325778, ""name"": ""bold""}, {""id"": 325812, ""name"": ""exhilarated""}]",2009-12-16,7.599,33447,81.8847,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,en
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","[{""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]","[{""id"": 6152, ""name"": ""supernatural""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 13141, ""name"": ""based on manga""}, {""id"": 15001, ""name"": ""demon""}, {""id"": 159103, ""name"": ""mourning""}, {""id"": 207826, ""name"": ""shounen""}, {""id"": 210024, ""name"": ""anime""}, {""id"": 239797, ""name"": ""complex""}, {""id"": 240485, ""name"": ""brother sister relationship""}, {""id"": 254547, ""name"": ""taisho period""}]",2025-07-18,7.691,706,81.0113,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,ja
1373198,Twisted,Two millennials make quick money by leasing incredible New York City apartments they don’t own to people who don’t know they are being scammed. The con works brilliantly until they run into an apartment owner with a dark secret who flips the game on them.,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 242, ""name"": ""new york city""}, {""id"": 3262, ""name"": ""surgeon""}, {""id"": 10453, ""name"": ""con artist""}, {""id"": 325844, ""name"": ""ridiculous""}]",2026-02-06,4.3,27,78.0409,/rF6txsM6cgF9vg6Ra5sNbkvUwrw.jpg,en
1528660,Holy Ghost,"A kidnapped girl in Augusta claims her rescuer was Jim, a deceased cop. Detective Wells probes the case as another child vanishes, revealing old murders and raising questions about a ghostly presence.","[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",[],2025-08-11,6.286,7,75.2676,/z1lwn6GWAjJ7CSn80ZcURb0Cj4G.jpg,en
425274,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]","[{""id"": 1384, ""name"": ""diamond""}, {""id"": 1385, ""name"": ""antwerp""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 40903, ""name"": ""diamond heist""}, {""id"": 210730, ""name"": ""illusionist""}, {""id"": 302711, ""name"": ""team up""}]",2025-11-12,6.542,1042,69.5051,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,en
1243460,Joe's College Road Trip,"To teach his sheltered grandson about the real world, Madea's foul-mouthed brother Joe takes the college-bound teen on a raucous cross-country road trip.","[{""id"": 35, ""name"": ""Comedy""}]","[{""id"": 10041, ""name"": ""dysfunctional family""}, {""id"": 190675, ""name"": ""black history""}, {""id"": 240119, ""name"": ""father son relationship""}, {""id"": 245358, ""name"": ""grandfather grandson relationship""}, {""id"": 324297, ""name"": ""college tour""}]",2026-02-12,4.4,24,69.1026,/jWGOCUlzF4aCVLwHoiuqWWfhcrA.jpg,en
1198994,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 35, ""name"": ""Comedy""}]","[{""id"": 6733, ""name"": ""bullying""}, {""id"": 5629, ""name"": ""role reversal""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 15354, ""name"": ""struggle for survival""}, {""id"": 50009, ""name"": ""survival horror""}, {""id"": 155746, ""name"": ""deserted island""}, {""id"": 188277, ""name"": ""power struggle""}, {""id"": 238608, ""name"": ""colleagues""}, {""id"": 246690, ""name"": ""bullying in the workplace""}, {""id"": 249530, ""name"": ""plane crash""}, {""id"": 262802, ""name"": ""gender inequality""}, {""id"": 309270, ""name"": ""comedy thriller""}, {""id"": 352581, ""name"": ""comedy horror""}]",2026-01-22,7.043,258,69.0692,/mlV70IuchLZXcXKowjwSpSfdfUB.jpg,en
1198984,We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise—they hunt. The military insists they are harmless and slow-moving, offering hope to grieving families. But when Ava enters a quarantine zone searching for her missing husband, she uncovers the horrifying truth: the undead are growing more violent, more relentless, and more dangerous with every passing hour.","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 5657, ""name"": ""australia""}, {""id"": 10327, ""name"": ""undead""}, {""id"": 12377, ""name"": ""zombie""}, {""id"": 156091, ""name"": ""missing person""}, {""id"": 162365, ""name"": ""military""}, {""id"": 194161, ""name"": ""tasmania""}, {""id"": 202371, ""name"": ""aggressive""}, {""id"": 211659, ""name"": ""somber""}, {""id"": 353811, ""name"": ""apocalyptic""}, {""id"": 365093, ""name"": ""quarantine zone""}]",2026-01-01,6.215,93,68.2593,/xZqo0yPARmyF8TACVNyaOACkYWG.jpg,en
1242501,Icefall,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts.","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 261264, ""name"": ""dreary""}, {""id"": 325792, ""name"": ""demeaning""}]",2025-10-16,6.428,125,66.399,/5Byv6nznAb2Izd0gHpODOXnuSbo.jpg,en
1290821,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","[{""id"": 196164, ""name"": ""ghosts of the past""}, {""id"": 337188, ""name"": ""solitary life""}, {""id"": 356777, ""name"": ""intergenerational friendship""}]",2026-01-28,7.605,43,64.3196,/903mfuYcAEC20o52mxOMAkCCS3M.jpg,en
